track_id,fase,inicio,fim
19790414,decay,1979-05-25 06:00:00,1979-05-28 00:00:00
19790414,residual,1979-05-28 03:00:00,1979-05-28 09:00:00
19790419,intensification,1979-05-24 00:00:00,1979-05-27 21:00:00
19790419,mature,1979-05-28 00:00:00,1979-05-28 15:00:00
19790419,decay,1979-05-28 18:00:00,1979-05-30 06:00:00
19790419,residual,1979-05-30 09:00:00,1979-05-31 21:00:00
19790430,incipient,1979-05-28 09:00:00,1979-05-28 15:00:00
19790430,intensification,1979-05-28 18:00:00,1979-05-28 21:00:00
19790430,decay,1979-05-29 00:00:00,1979-05-29 06:00:00
19790430,intensification 2,1979-05-29 09:00:00,1979-05-30 09:00:00
19790434,incipient,1979-05-30 06:00:00,1979-05-30 12:00:00
19790434,decay,1979-05-30 15:00:00,1979-05-31 00:00:00
19790434,intensification,1979-05-31 03:00:00,1979-05-31 03:00:00
19790451,intensification,1979-06-02 06:00:00,1979-06-03 03:00:00
19790451,mature,1979-06-03 06:00:00,1979-06-03 15:00:00
19790451,decay,1979-06-03 18:00:00,1979-06-05 21:00:00
19790455,incipient,1979-06-03 03:00:00,1979-06-03 15:00:00
19790455,intensification,1979-06-03 18:00:00,1979-06-08 00:00:00
19790455,mature,1979-06-08 03:00:00,1979-06-09 00:00:00
19790455,decay,1979-06-09 03:00:00,1979-06-11 09:00:00
19790473,incipient,1979-06-08 03:00:00,1979-06-08 18:00:00
19790473,intensification,1979-06-08 21:00:00,1979-06-10 06:00:00
19790473,mature,1979-06-10 09:00:00,1979-06-10 18:00:00
19790473,decay,1979-06-10 21:00:00,1979-06-11 15:00:00
19790473,residual,1979-06-11 18:00:00,1979-06-11 18:00:00
19790483,incipient,1979-06-11 06:00:00,1979-06-11 18:00:00
19790483,intensification,1979-06-11 21:00:00,1979-06-12 21:00:00
19790483,mature,1979-06-13 00:00:00,1979-06-13 09:00:00
19790483,decay,1979-06-13 12:00:00,1979-06-14 18:00:00
19790497,incipient,1979-06-15 06:00:00,1979-06-15 06:00:00
19790497,intensification,1979-06-15 09:00:00,1979-06-16 00:00:00
19790497,mature,1979-06-16 03:00:00,1979-06-16 06:00:00
19790497,decay,1979-06-16 09:00:00,1979-06-16 09:00:00
19790506,decay,1979-06-16 12:00:00,1979-06-18 03:00:00
19790513,intensification,1979-06-18 03:00:00,1979-06-18 21:00:00
19790513,decay,1979-06-19 00:00:00,1979-06-19 09:00:00
19790535,incipient,1979-06-23 15:00:00,1979-06-23 15:00:00
19790535,intensification,1979-06-23 18:00:00,1979-06-24 06:00:00
19790535,mature,1979-06-24 09:00:00,1979-06-24 12:00:00
19790535,decay,1979-06-24 15:00:00,1979-06-26 03:00:00
19790540,intensification,1979-06-25 00:00:00,1979-06-25 21:00:00
19790542,incipient,1979-06-27 00:00:00,1979-06-27 09:00:00
19790542,intensification,1979-06-27 12:00:00,1979-06-27 15:00:00
19790542,decay,1979-06-27 18:00:00,1979-06-28 00:00:00
19790542,intensification 2,1979-06-28 03:00:00,1979-06-28 09:00:00
19790550,incipient,1979-06-30 09:00:00,1979-06-30 09:00:00
19790550,intensification,1979-06-30 12:00:00,1979-07-03 21:00:00
19790550,mature,1979-07-04 00:00:00,1979-07-04 15:00:00
19790550,decay,1979-07-04 18:00:00,1979-07-05 18:00:00
19790561,incipient,1979-07-01 18:00:00,1979-07-02 00:00:00
19790561,intensification,1979-07-02 03:00:00,1979-07-02 18:00:00
19790561,mature,1979-07-02 21:00:00,1979-07-03 00:00:00
19790561,decay,1979-07-03 03:00:00,1979-07-03 15:00:00
19790574,intensification,1979-07-05 00:00:00,1979-07-06 09:00:00
19790583,intensification,1979-07-07 00:00:00,1979-07-07 03:00:00
19790583,decay,1979-07-07 06:00:00,1979-07-08 00:00:00
19790585,incipient,1979-07-08 00:00:00,1979-07-08 09:00:00
19790585,intensification,1979-07-08 12:00:00,1979-07-09 15:00:00
19790585,mature,1979-07-09 18:00:00,1979-07-10 00:00:00
19790585,decay,1979-07-10 03:00:00,1979-07-11 09:00:00
19790589,intensification,1979-07-09 12:00:00,1979-07-10 00:00:00
19790589,decay,1979-07-10 03:00:00,1979-07-10 09:00:00
19790594,incipient,1979-07-10 06:00:00,1979-07-10 18:00:00
19790594,intensification,1979-07-10 21:00:00,1979-07-12 18:00:00
19790594,mature,1979-07-12 21:00:00,1979-07-13 12:00:00
19790594,decay,1979-07-13 15:00:00,1979-07-16 12:00:00
19790595,decay,1979-07-10 12:00:00,1979-07-10 21:00:00
19790595,intensification,1979-07-11 00:00:00,1979-07-11 00:00:00
19790595,decay 2,1979-07-11 03:00:00,1979-07-11 09:00:00
19790612,decay,1979-07-15 00:00:00,1979-07-16 21:00:00
19790613,incipient,1979-07-15 06:00:00,1979-07-15 09:00:00
19790613,intensification,1979-07-15 12:00:00,1979-07-16 21:00:00
19790613,mature,1979-07-17 00:00:00,1979-07-17 15:00:00
19790613,decay,1979-07-17 18:00:00,1979-07-21 03:00:00
19790613,residual,1979-07-21 06:00:00,1979-07-21 09:00:00
19790618,incipient,1979-07-17 06:00:00,1979-07-17 18:00:00
19790618,intensification,1979-07-17 21:00:00,1979-07-19 18:00:00
19790618,mature,1979-07-19 21:00:00,1979-07-20 18:00:00
19790618,decay,1979-07-20 21:00:00,1979-07-25 00:00:00
19790626,decay,1979-07-19 12:00:00,1979-07-20 00:00:00
19790626,intensification,1979-07-20 03:00:00,1979-07-20 21:00:00
19790626,mature,1979-07-21 00:00:00,1979-07-21 06:00:00
19790626,decay 2,1979-07-21 09:00:00,1979-07-22 12:00:00
