Latitude,Longitude,Limiar_Mediana_ms,Limiar_Q90_ms,Limiar_Q95_ms,Limiar_Q99_ms,Limiar_Maximo_ms
-52.5,-20.5,11.033773,15.589552,16.676424,19.060108,23.541265
-52.5,-20.25,10.989758,15.551526,16.669603,19.058517,22.821362
-52.5,-20.0,10.991642,15.509277,16.685936,19.133726,22.634087
-52.5,-19.75,10.995014,15.498111,16.63142,19.190254,22.724812
-52.5,-19.5,10.980554,15.488174,16.636444,19.196619,23.798761
-52.5,-19.25,10.966042,15.47755,16.672514,19.078175,24.009838
-52.5,-19.0,10.9850235,15.462176,16.685442,19.077261,23.967806
-52.5,-18.75,10.996836,15.464664,16.70449,18.973822,23.864122
-52.5,-18.5,11.019299,15.481421,16.73111,18.973238,24.408382
-52.5,-18.25,11.0289345,15.504965,16.773024,19.069096,24.418856
-52.5,-18.0,11.042282,15.549294,16.770432,19.17536,23.291407
-52.5,-17.75,11.052553,15.603843,16.86083,19.201042,23.267462
-52.5,-17.5,11.058855,15.629785,16.890608,19.199389,23.619877
-52.5,-17.25,11.0569515,15.656106,16.931057,19.203924,23.98387
-52.5,-17.0,11.03797,15.648427,16.897358,19.170744,24.441645
-52.5,-16.75,11.034429,15.593707,16.846502,19.13048,24.48038
-52.5,-16.5,11.002955,15.57036,16.8455,19.105852,25.699568
-52.5,-16.25,10.979961,15.51626,16.839329,19.071943,26.571783
-52.5,-16.0,10.98912,15.530378,16.823545,19.058613,27.2687
-52.5,-15.75,10.964384,15.520382,16.822763,19.12923,27.354174
-52.5,-15.5,10.971698,15.521798,16.814241,19.082333,27.11268
-52.5,-15.25,10.974197,15.508982,16.83309,19.081606,26.593672
-52.5,-15.0,10.981665,15.522562,16.81959,19.115377,25.913084
-52.75,-85.0,10.905814,15.487532,16.570736,18.959146,22.54606
-52.75,-84.75,10.885815,15.443694,16.6504,18.860743,22.337948
-52.75,-84.5,10.89212,15.46154,16.660664,18.959755,23.363138
-52.75,-84.25,10.920488,15.459451,16.677742,19.066708,24.904558
-52.75,-84.0,10.890827,15.446396,16.698975,18.855032,25.166368
-52.75,-83.75,10.87101,15.423184,16.67767,18.867575,24.629696
-52.75,-83.5,10.875582,15.440229,16.651274,18.84324,24.28441
-52.75,-83.25,10.901756,15.456532,16.681202,18.955366,24.519
-52.75,-83.0,10.89385,15.444599,16.634453,18.918169,24.812584
-52.75,-82.75,10.904233,15.480443,16.601702,18.933783,24.762928
-52.75,-82.5,10.905315,15.468608,16.589785,18.939613,23.624245
-52.75,-82.25,10.890122,15.468832,16.568659,18.926203,23.420189
-52.75,-82.0,10.894155,15.43789,16.540665,18.996166,23.473572
-52.75,-81.75,10.872376,15.4315195,16.559292,18.995518,23.54924
-52.75,-81.5,10.876074,15.459599,16.57726,18.961172,23.557291
-52.75,-81.25,10.870974,15.468942,16.588081,18.89711,23.607504
-52.75,-81.0,10.892689,15.514393,16.589224,18.997332,23.655663
-52.75,-80.75,10.92713,15.52094,16.639442,19.022947,23.60932
-52.75,-80.5,10.905716,15.515165,16.645937,18.983398,23.448242
-52.75,-80.25,10.874827,15.45631,16.527357,18.953125,23.481873
-52.75,-80.0,10.861292,15.440668,16.574076,18.93864,23.730354
-52.75,-79.75,10.931792,15.471504,16.634462,19.010025,23.699606
-52.75,-79.5,10.9323845,15.487616,16.626667,18.96933,23.188683
-52.75,-79.25,10.910148,15.436239,16.609224,18.947023,23.711075
-52.75,-79.0,10.940369,15.46525,16.672188,18.977045,23.840208
-52.75,-78.75,11.014141,15.631685,16.792223,19.102125,24.061792
-52.75,-78.5,11.014361,15.60693,16.732025,18.918436,23.865273
-52.75,-78.25,11.017183,15.610295,16.75064,18.806301,23.66502
-52.75,-78.0,11.064346,15.698071,16.806646,18.985971,23.468702
-52.75,-77.75,11.093641,15.784159,16.873735,19.070524,23.516914
-52.75,-77.5,11.103573,15.767985,16.88902,19.085686,23.808052
-52.75,-77.25,11.147783,15.842021,16.993334,19.084934,23.713581
-52.75,-77.0,11.223532,15.970405,17.12792,19.223413,23.855917
-52.75,-76.75,11.243059,16.019281,17.190544,19.30059,24.250763
-52.75,-76.5,11.298792,16.038809,17.293062,19.459986,24.76183
-52.75,-76.25,11.358826,16.144817,17.390928,19.558935,25.095366
-52.75,-76.0,11.451422,16.304218,17.457687,19.69627,25.452396
-52.75,-75.75,11.537706,16.317038,17.50301,19.674614,24.888594
-52.75,-75.5,11.688812,16.46191,17.699306,19.86304,25.245962
-52.75,-75.25,11.709507,16.531116,17.79707,19.938559,26.160244
-52.75,-75.0,11.687584,16.63493,17.82715,20.018494,26.955038
-52.75,-74.75,11.645064,16.710217,17.977295,20.31538,27.693527
-52.75,-74.5,11.761095,17.007154,18.323118,20.72735,27.776423
-52.75,-74.25,11.895193,17.316444,18.736752,21.311783,27.761084
-52.75,-74.0,11.422331,16.8984,18.28707,20.95605,27.037893
-52.75,-73.75,10.398401,15.693697,16.996262,19.525927,25.133867
-52.75,-73.5,6.816144,10.648126,11.552765,13.263847,17.310047
-52.75,-73.25,4.344678,7.090046,7.824564,8.957968,11.443635
-52.75,-73.0,3.4385908,6.1023765,6.7712054,7.8773446,10.14741
-52.75,-72.75,3.263719,5.985209,6.643587,7.815256,10.111917
-52.75,-72.5,4.514784,7.739781,8.473801,9.941758,12.006224
-52.75,-72.25,4.5743613,8.00252,8.823837,10.266175,12.379799
-52.75,-72.0,4.643973,8.395273,9.319382,10.915678,13.941447
-52.75,-71.75,5.1932974,9.152235,10.200129,11.881537,15.362668
-52.75,-71.5,5.5061455,9.636199,10.768978,12.698463,16.442217
-52.75,-71.25,5.7309113,9.975707,11.127277,13.1055155,17.508772
-52.75,-71.0,6.0593777,10.4474535,11.623284,13.722762,18.354645
-52.75,-70.75,6.522411,10.952925,12.122507,14.343261,19.18895
-52.75,-70.5,7.1346483,11.699435,12.868959,15.071501,20.068884
-52.75,-70.25,7.7086897,12.574295,13.733637,15.949702,21.291264
-52.75,-70.0,7.6650295,12.5977125,13.741069,15.838761,21.078077
-52.75,-69.75,7.6575327,12.692356,13.9760895,15.981982,20.961864
