phase,quad_type,cell_x,cell_y,nivel,n_ciclones_contrib,n_ciclones,taxa_contagem_media,taxa_acumulada_media,cell_center_x_km,cell_center_y_km
decay,fixed,-9,-5,b90,854,1699,0.11766047613853799,1.5510815682523131,-850.0,-450.0
decay,fixed,-9,-5,b95,531,1699,0.06071651762691278,0.8555211160246984,-850.0,-450.0
decay,fixed,-9,-5,b99,266,1699,0.02155748270560482,0.3250398756268866,-850.0,-450.0
decay,fixed,-9,-5,q90,501,1699,0.07691147774877591,1.0623662108603593,-850.0,-450.0
decay,fixed,-9,-5,q95,266,1699,0.03663730758240092,0.5385203811427344,-850.0,-450.0
decay,fixed,-9,-5,q99,57,1699,0.006201562439128017,0.10073772443031132,-850.0,-450.0
decay,fixed,-9,-4,15_6,193,1699,0.022735155383848973,0.38456919245300375,-850.0,-350.0
decay,fixed,-9,-4,20_0,9,1699,0.0006071214996417026,0.013230137410555004,-850.0,-350.0
decay,fixed,-9,-4,25_0,1,1699,2.6753705388196265e-05,0.0006775004094864929,-850.0,-350.0
decay,fixed,-9,-4,b90,886,1699,0.121907977141489,1.5782430465751718,-850.0,-350.0
decay,fixed,-9,-4,b95,556,1699,0.06247154162512884,0.8565136909081443,-850.0,-350.0
decay,fixed,-9,-4,b99,275,1699,0.02224487682397189,0.3240897366928253,-850.0,-350.0
decay,fixed,-9,-4,q90,524,1699,0.07937709380572862,1.0736427700115312,-850.0,-350.0
decay,fixed,-9,-4,q95,275,1699,0.03839622631627263,0.5471098772179732,-850.0,-350.0
decay,fixed,-9,-4,q99,58,1699,0.005422217334403771,0.08621609357649421,-850.0,-350.0
decay,fixed,-9,-3,15_6,211,1699,0.023050211789928193,0.39009292067747325,-850.0,-250.0
decay,fixed,-9,-3,20_0,8,1699,0.000716941955559727,0.01554357099968593,-850.0,-250.0
decay,fixed,-9,-3,b90,897,1699,0.12719539617938416,1.6298588861287633,-850.0,-250.0
decay,fixed,-9,-3,b95,593,1699,0.06482138034320682,0.8782070112124197,-850.0,-250.0
decay,fixed,-9,-3,b99,315,1699,0.02254802085615233,0.321848350183271,-850.0,-250.0
decay,fixed,-9,-3,q90,554,1699,0.08134780656383135,1.0895333876210826,-850.0,-250.0
decay,fixed,-9,-3,q95,315,1699,0.040113974538408155,0.5593224656228192,-850.0,-250.0
decay,fixed,-9,-3,q99,63,1699,0.006125129125901601,0.09327123851472428,-850.0,-250.0
decay,fixed,-9,-2,15_6,232,1699,0.025368814947109828,0.42828657255818287,-850.0,-150.0
decay,fixed,-9,-2,20_0,11,1699,0.0007420052847979324,0.015841480814450984,-850.0,-150.0
decay,fixed,-9,-2,b90,931,1699,0.13594010287779618,1.7385087620248618,-850.0,-150.0
decay,fixed,-9,-2,b95,623,1699,0.06943882878095965,0.9381100067275964,-850.0,-150.0
decay,fixed,-9,-2,b99,327,1699,0.024074664210083852,0.34446440094385405,-850.0,-150.0
decay,fixed,-9,-2,q90,588,1699,0.08873263744494751,1.1835656926395473,-850.0,-150.0
decay,fixed,-9,-2,q95,327,1699,0.04177454907259083,0.5856268824870428,-850.0,-150.0
decay,fixed,-9,-2,q99,81,1699,0.006907095858844811,0.10412283158401632,-850.0,-150.0
decay,fixed,-9,-1,15_6,269,1699,0.030782079378253578,0.5198210913699675,-850.0,-50.0
decay,fixed,-9,-1,20_0,16,1699,0.0006268447143675558,0.01341998504863712,-850.0,-50.0
decay,fixed,-9,-1,b90,975,1699,0.14925510567944716,1.9192834782655153,-850.0,-50.0
decay,fixed,-9,-1,b95,659,1699,0.078932890167053,1.0734430609689005,-850.0,-50.0
decay,fixed,-9,-1,b99,385,1699,0.029130848647006335,0.4174443269378686,-850.0,-50.0
decay,fixed,-9,-1,q90,617,1699,0.09869482808248232,1.3231238474510063,-850.0,-50.0
decay,fixed,-9,-1,q95,385,1699,0.049742205045133846,0.7033976490022609,-850.0,-50.0
decay,fixed,-9,-1,q99,94,1699,0.00879288112204519,0.12824915711137677,-850.0,-50.0
decay,fixed,-9,0,15_6,309,1699,0.03559193048144165,0.6027748616134642,-850.0,50.0
decay,fixed,-9,0,20_0,21,1699,0.0008242953087033834,0.017670657290244998,-850.0,50.0
decay,fixed,-9,0,25_0,1,1699,1.8203552119803644e-05,0.00047520902042064053,-850.0,50.0
